100 154
200 322
300 526
400 671
500 827
100 130
200 329
300 567
400 700
500 878
100 148
200 331
300 521
400 646
500 851
100 145
200 339
300 501
400 666
500 755
100 149
200 342
300 513
400 640
500 791
100 155
200 322
300 525
400 673
500 828
100 129
200 329
300 565
400 710
500 881
100 146
200 333
300 517
400 643
500 855
100 145
200 338
300 503
400 671
500 751
100 150
200 339
300 513
400 646
500 791
100 154
200 324
300 522
400 673
500 830
100 130
200 330
300 563
400 696
500 876
100 148
200 332
300 518
400 649
500 850
100 145
200 336
300 502
400 665
500 752
100 150
200 343
300 510
400 637
500 788
100 155
200 324
300 526
400 675
500 822
100 130
200 327
300 563
400 694
500 881
100 148
200 330
300 516
400 644
500 848
100 145
200 337
300 503
400 671
500 753
100 150
200 340
300 509
400 636
500 789
100 154
200 323
300 522
400 667
500 820
100 130
200 328
300 563
400 696
500 877
100 147
200 330
300 516
400 643
500 851
100 145
200 335
300 501
400 668
500 752
100 149
200 340
300 512
400 636
500 791
100 155
200 321
300 521
400 668
500 821
100 130
200 326
300 565
400 696
500 877
100 147
200 331
300 515
400 649
500 848
100 144
200 337
300 499
400 671
500 752
100 150
200 342
300 510
400 638
500 790
100 155
200 321
300 522
400 670
500 824
100 130
200 329
300 562
400 694
500 878
100 148
200 333
300 517
400 646
500 848
100 145
200 336
300 499
400 668
500 757
100 149
200 342
300 509
400 637
500 794
100 153
200 323
300 521
400 671
500 825
100 130
200 329
300 564
400 695
500 881
100 147
200 331
300 515
400 644
500 850
100 143
200 335
300 499
400 667
500 754
100 150
200 339
300 512
400 636
500 791
100 154
200 323
300 523
400 668
500 820
100 129
200 328
300 566
400 693
500 880
100 147
200 331
300 518
400 644
500 848
100 145
200 339
300 498
400 665
500 751
100 150
200 343
300 510
400 639
500 791
100 154
200 324
300 520
400 671
500 824
100 129
200 330
300 564
400 697
500 878
100 146
200 333
300 515
400 643
500 850
100 144
200 337
300 499
400 665
500 755
100 150
200 342
300 510
400 637
500 793
145.1
332.16
523
663.76
819.36
