Exp_ID: 7 States: 100 Actions: 20 S_states: 20 Start_P: 20 endP: 50 IncP: 10
VI UVI BVI VIAE VIAEH VIH VIAEHLB BAO
340 365 631 412 323 132 233 207
476 488 870 533 397 137 230 204
605 628 1120 654 488 157 279 225
752 798 1425 845 664 229 417 312
342 357 623 396 295 115 171 176
476 503 885 545 417 151 253 224
634 640 1160 692 519 167 296 237
754 770 1392 801 597 184 338 254
345 374 645 421 333 136 210 214
467 477 851 511 374 125 209 186
609 615 1109 642 470 144 256 206
739 776 1389 795 600 191 351 273
522 386 637 414 313 119 185 189
482 508 898 543 412 145 243 215
620 656 1164 698 543 189 332 267
743 739 1352 777 572 167 308 232
351 357 631 400 292 105 162 168
603 490 869 533 401 140 234 208
614 638 1138 679 517 174 308 248
745 792 1411 829 640 216 395 296
346 370 641 415 324 130 201 205
481 506 893 560 440 165 276 243
604 682 1181 655 519 159 282 269
956 758 1473 816 573 172 388 335
335 347 600 378 278 105 163 167
471 500 877 545 419 154 283 228
612 636 1134 677 517 177 311 251
908 889 1416 940 606 187 344 258
335 353 611 391 291 111 171 177
488 513 908 556 429 155 260 229
608 630 1125 656 490 159 282 227
745 767 1379 790 588 180 331 248
343 366 634 416 327 133 206 210
476 513 900 563 504 164 275 242
620 642 1145 679 512 169 298 240
769 770 1403 816 605 185 339 254
342 371 640 419 331 136 211 215
487 534 921 572 452 170 285 250
605 634 1168 771 511 177 310 250
732 869 1383 877 597 194 370 279
