Experiment ID: 1
VI UVI VIH BVI VIAE VIAEH VIAEHLB BAO
97 124 94 169 219 128 123 218
168 204 140 356 330 191 147 312
257 357 242 280 290 203 135 311
328 342 232 701 612 423 240 780
1080 1273 604 1306 749 823 243 737
73 93 56 133 202 58 46 124
154 146 99 217 253 117 76 215
233 231 149 297 795 265 151 438
280 274 153 444 544 492 223 506
349 420 325 998 1171 332 217 534
54 78 48 170 217 96 77 143
267 257 90 243 316 219 102 221
217 297 169 558 501 257 118 339
304 327 254 667 1383 315 176 563
393 638 298 689 735 556 388 789
63 70 45 107 125 66 40 100
102 121 88 173 179 116 95 270
365 428 185 427 666 175 119 314
303 309 204 625 467 269 185 465
400 531 254 680 699 370 368 595
74 79 52 120 267 86 63 141
174 151 128 238 324 157 92 260
372 280 151 405 370 246 124 327
292 290 170 579 409 274 182 395
384 399 277 626 472 269 240 622
