Experiment ID: 10
VI UVI VIH BVI VIAE VIAEH VIAEHLB BAO
110 103 64 141 100 103 87 94
2354 1985 1384 3122 1829 1997 1657 1803
10667 8674 6148 15022 9487 10442 8319 9015
88 78 56 124 95 94 76 81
2406 2225 1198 3188 1797 1921 1641 1804
9918 8255 6104 13974 9152 10174 8172 8968
90 78 55 124 96 94 76 80
2381 1983 1160 3248 1840 1934 1584 1740
12222 10123 6428 17268 10090 11472 8995 9695
87 78 56 119 95 94 77 82
1956 1809 1145 2741 1746 1876 1566 1714
10749 8651 6477 15506 9712 10623 8395 9172
85 79 60 125 96 99 81 87
2259 1891 1147 3077 1786 1901 1565 1709
11236 9355 6355 15815 9616 10651 8598 9370
90 81 57 129 95 96 78 84
2353 1954 1171 3194 1818 1938 1596 1749
10363 8923 6250 14798 9466 10379 8377 9199
87 78 57 124 95 95 77 83
1773 1680 1129 2623 1732 1865 1541 1673
10451 8388 6061 14807 9478 10311 8144 8933
84 84 59 124 96 98 81 87
2377 1951 1164 3187 1815 1928 1586 1739
11350 9683 6431 16132 9861 10898 8840 9545
84 75 56 118 94 95 77 82
2384 1896 1166 3256 1838 1956 1588 1744
10706 9847 6799 15169 9555 10517 8673 9557
85 78 59 119 95 97 80 86
2535 2077 1190 3477 1897 1994 1630 1791
10545 8822 6180 15016 9520 10498 8368 9162
