Exp_ID: 3 States: 30 Actions: 100 S_states: 50 Start_P: 50 endP: 500 IncP: 50
VI UVI BVI VIAE VIAEH VIH VIAEHLB BAO
160 146 278 141 332 49 61 87
536 647 926 501 645 201 299 376
1692 1424 1692 934 894 186 248 379
1805 2066 2555 1163 1180 387 486 662
1856 1953 2409 1174 1610 448 676 828
2399 2398 2871 1421 1474 602 641 862
2656 2763 3434 1831 1997 680 743 957
2848 2774 3973 2104 2365 595 859 1319
3725 3708 4891 2728 2779 928 1219 1475
4034 4239 5035 2715 2993 1191 1660 1878
192 234 276 143 134 33 61 124
638 625 762 484 470 113 177 350
774 1185 1458 686 868 165 347 337
1499 1683 1744 1059 1067 364 450 769
1724 2028 2280 1335 1806 492 749 1191
2473 2570 2774 1450 1828 489 839 1020
3156 3101 3386 1753 2095 765 966 1124
3311 3731 4752 2239 2511 917 1036 1405
3596 3638 4599 2530 2911 1009 1362 1574
4152 4184 5647 2619 3601 1312 1646 2049
