Experiment ID: 9
VI UVI VIH BVI VIAE VIAEH VIAEHLB BAO
15 14 15 22 26 21 17 26
45 42 50 70 83 70 59 90
103 99 124 161 193 169 145 222
199 195 242 320 378 329 281 433
15 13 15 22 26 21 17 26
44 41 50 68 82 70 59 91
104 100 121 164 195 167 142 217
198 192 236 312 372 322 274 422
15 14 16 22 27 22 19 28
46 44 52 71 83 71 60 93
106 102 124 169 202 172 145 222
193 187 235 305 371 322 273 421
15 14 16 22 27 22 19 28
46 43 52 71 85 72 61 93
103 100 127 162 197 172 147 225
199 191 236 317 376 323 275 423
15 13 15 21 26 21 18 27
47 44 52 72 86 72 60 93
106 102 124 165 197 169 144 218
198 192 236 316 375 323 275 424
15 13 15 22 26 22 18 27
47 44 52 71 85 71 61 93
103 99 119 160 191 163 139 213
195 187 232 309 370 318 270 417
15 13 15 21 26 21 18 27
48 45 52 74 88 72 60 93
103 99 120 162 193 165 140 214
193 187 235 306 369 320 274 424
14 13 15 21 26 21 18 26
46 42 50 69 84 70 58 90
105 100 122 163 197 168 143 218
195 189 236 310 371 321 274 423
15 14 15 22 26 21 18 27
48 46 53 74 87 73 62 95
102 99 124 160 195 168 144 221
195 187 233 310 370 319 271 419
14 13 15 21 25 21 17 26
47 44 52 72 86 72 60 93
104 99 121 163 193 166 141 216
197 191 234 313 371 320 273 418
