Experiment ID: 2
VI UVI VIH BVI VIAE VIAEH VIAEHLB BAO
684 641 311 1353 1485 571 360 659
1096 1312 519 1784 1362 1273 622 1594
1430 1723 1002 2252 1578 1510 658 1157
1415 1227 662 1992 1948 1164 617 1664
1021 1439 605 1980 1298 960 698 1327
382 371 187 920 665 336 181 480
727 874 305 1015 1374 976 339 762
991 794 481 1744 975 1045 704 1013
1065 1131 415 1821 987 910 693 1324
1195 1395 436 2074 1021 1187 656 1201
332 445 267 602 985 277 205 711
640 634 333 1323 916 596 323 1087
806 923 619 1927 1117 1035 374 966
1138 988 440 1970 1221 1368 608 1421
1209 1645 797 5074 3884 2215 1023 2772
718 831 454 1125 716 818 394 875
1256 1282 581 2309 1547 669 428 1112
926 1497 595 1559 1083 966 696 1340
1142 1418 478 2127 1204 1621 554 1647
1088 1597 543 2183 1212 1392 500 1612
484 378 189 664 515 454 264 542
669 911 612 1022 864 1200 559 1157
1152 1141 584 1960 1341 1336 536 1265
1579 1652 626 2543 1637 1647 749 1664
1441 1493 734 2239 1461 1636 841 1837
