50 472
100 2177
150 4848
200 6086
250 11563
300 18643
350 18282
400 31839
450 30244
500 32067
50 717
100 1826
150 4743
200 7373
250 11560
300 13131
350 19016
400 26560
450 33417
500 39602
50 446
100 1717
150 3832
200 7032
250 10387
300 13310
350 17572
400 30261
450 31307
500 33528
50 513
100 1687
150 4423
200 6721
250 11474
300 15914
350 20819
400 30530
450 35215
500 35979
50 649
100 1771
150 4204
200 7642
250 9319
300 14508
350 22120
400 24272
450 33381
500 46192
559.4
1835.6
4410
6970.8
10860.6
15101.2
19561.8
28692.4
32712.8
37473.6
