50 375
100 1724
150 2502
200 4349
250 6974
300 8143
350 13541
400 18799
450 25613
500 28981
50 383
100 1469
150 3130
200 5546
250 6630
300 9130
350 12602
400 14928
450 23365
500 23572
50 468
100 1304
150 2437
200 4124
250 7786
300 8878
350 12861
400 15293
450 21892
500 29731
50 446
100 1727
150 2103
200 4476
250 6547
300 12421
350 12915
400 16549
450 19115
500 29916
50 390
100 1497
150 2671
200 4857
250 7170
300 10052
350 12261
400 15893
450 19807
500 31632
412.4
1544.2
2568.6
4670.4
7021.4
9724.8
12836
16292.4
21958.4
28766.4
