# META DATA
# 
# experiment run at: Fri Aug 26 14:33:37 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 50 to 500 with 50 increment
# 
# ACTUAL DATA
# number of states | microseconds
50 2356
100 8937
150 21034
200 38717
250 58885
300 81361
350 112928
400 146876
450 182669
500 221790
50 2323
100 8895
150 20209
200 37614
250 58804
300 82718
350 114242
400 146291
450 179378
500 224127
50 2285
100 8923
150 20932
200 37926
250 59507
300 82780
350 111739
400 146875
450 185711
500 223439
50 2356
100 8731
150 20821
200 37424
250 57788
300 81966
350 112576
400 145625
450 186268
500 225742
50 2397
100 9257
150 21349
200 39097
250 57823
300 84122
350 111662
400 145405
450 180485
500 225850
2343.4
8948.6
20869
38155.6
58561.4
82589.4
112629
146214
182902
224190
