# META DATA
# 
# experiment run at: Fri Aug 26 20:39:24 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 50 to 500 with 50 increment
# 
# ACTUAL DATA
# number of states | microseconds
500 35031
500 68152
500 100773
500 132458
500 165243
500 198681
500 225440
500 258639
500 290834
500 326542
500 34554
500 67696
500 99650
500 133855
500 168196
500 195141
500 226111
500 262340
500 291359
500 322896
500 34597
500 67610
500 100642
500 132799
500 165013
500 197703
500 228086
500 261396
500 292464
500 321935
500 35035
500 65842
500 100220
500 134634
500 164275
500 198645
500 227550
500 259472
500 291744
500 324512
500 34337
500 67156
500 101393
500 135641
500 165841
500 197955
500 227073
500 260148
500 293039
500 326060
34710.8
67291.2
100536
133877
165714
197625
226852
260399
291888
324389
