# META DATA
# 
# experiment run at: Mon Aug 29 08:50:04 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 50 to 250 with 50 increment
# 
# ACTUAL DATA
# number of states | microseconds
2501 200
10001 1340
22501 4376
40001 10712
62501 20210
2501 196
10001 1349
22501 4345
40001 10629
62501 20324
2501 198
10001 1339
22501 4348
40001 10555
62501 20495
2501 197
10001 1332
22501 4364
40001 10752
62501 20245
2501 193
10001 1339
22501 4325
40001 10638
62501 20395
196.8
1339.8
4351.6
10657.2
20333.8
0
0
0
0
0
