# META DATA
# 
# experiment run at: Fri Aug 26 11:58:19 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 50 to 500 with 50 increment
# 
# ACTUAL DATA
# number of states | microseconds
100 8372
100 16787
100 25061
100 33302
100 42337
100 50340
100 58765
100 67752
100 74411
100 85142
100 8400
100 16381
100 24613
100 32871
100 43239
100 51302
100 61658
100 69404
100 78516
100 88521
100 8379
100 16749
100 25171
100 32756
100 41199
100 52125
100 58525
100 70520
100 77329
100 84610
100 8246
100 16749
100 24827
100 33441
100 43542
100 50974
100 59996
100 68762
100 78049
100 83619
100 8205
100 16643
100 25181
100 32773
100 41588
100 50199
100 58350
100 66565
100 73544
100 83890
8320.4
16661.8
24970.6
33028.6
42381
50988
59458.8
68600.6
76369.8
85156.4
