# META DATA
# 
# experiment run at: Fri Aug 26 14:33:37 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 50 to 500 with 50 increment
# 
# ACTUAL DATA
# number of states | microseconds
50 2251
100 8608
150 19836
200 35665
250 54950
300 78350
350 104898
400 135752
450 173292
500 211420
50 2204
100 8572
150 19990
200 35650
250 54861
300 78487
350 105339
400 134964
450 172271
500 211300
50 2214
100 8524
150 19966
200 36166
250 55305
300 78339
350 105157
400 137497
450 171806
500 210482
50 2262
100 8525
150 19738
200 35837
250 55368
300 77877
350 105855
400 136642
450 171198
500 211145
50 2207
100 8579
150 19991
200 35261
250 55803
300 77672
350 104349
400 137117
450 170678
500 212391
2227.6
8561.6
19904.2
35715.8
55257.4
78145
105120
136394
171849
211348
